college_code,college_name,branch_code,branch_name,OC,BC,BCM,MBC,SC,SCA,ST,Total
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,BY,BIO MEDICAL ENGINEERING (SS),2,0,0,1,1,0,0,4
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CE,CIVIL  ENGINEERING,2,1,0,1,1,0,0,5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CM,COMPUTER SCIENCE AND ENGINEERING (SS),3,3,1,2,2,0,0,11
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CS,COMPUTER SCIENCE AND ENGINEERING,2,1,0,1,0,0,0,4
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,1,1,0,1,1,0,1,5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,2,1,0,0,1,0,0,4
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EL,Electronics Engineering (VLSI Design and Technology) (SS),2,1,0,1,1,0,0,5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),2,1,1,1,0,0,0,5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,GI,GEO INFORMATICS,1,2,0,1,1,0,0,5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IE,INDUSTRIAL ENGINEERING,2,1,0,1,1,0,0,5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IM,INFORMATION TECHNOLOGY (SS),3,3,0,2,1,1,0,10
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MA,MATERIAL SCIENCE AND ENGINEERING (SS),1,1,0,0,1,0,0,3
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,ME,MECHANICAL ENGINEERING,2,3,0,2,1,1,0,9
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MI,MINING ENGINEERING,1,1,0,1,0,0,0,3
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MN,MANUFACTURING ENGINEERING,1,2,0,1,0,1,0,5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,PT,PRINTING & PACKING TECHNOLOGY,1,1,1,1,1,0,0,5
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XC,CIVIL ENGINEERING (TAMIL MEDIUM),1,1,0,1,0,0,0,3
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),1,1,0,1,0,0,0,3
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,AP,APPAREL TECHNOLOGY (SS),1,1,0,1,0,0,0,3
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CH,CHEMICAL  ENGINEERING,2,1,0,1,1,0,0,5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CL,CHEMICAL  ENGINEERING (SS),2,1,0,1,1,0,0,5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CR,CERAMIC TECHNOLOGY (SS),2,1,0,1,1,0,0,5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,FS,FOOD TECHNOLOGY (SS),1,1,0,1,0,0,0,3
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IB,INDUSTRIAL BIO TECHNOLOGY,0,1,0,1,0,1,0,3
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IS,INDUSTRIAL BIO TECHNOLOGY (SS),1,1,0,0,0,0,0,2
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,LE,LEATHER TECHNOLOGY,1,1,1,1,1,0,0,5
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,PM,PHARMACEUTICAL TECHNOLOGY (SS),0,1,0,1,1,0,0,3
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),1,1,0,1,1,0,0,4
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,TX,TEXTILE TECHNOLOGY,1,1,1,0,1,0,0,4
3,School of Architecture and Planning  Anna University Chennai 600025,BP,B.Plan,1,1,0,0,1,0,0,3
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AE,AERONAUTICAL ENGINEERING,1,1,0,1,1,0,0,4
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),0,1,1,1,1,0,0,4
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AU,AUTOMOBILE ENGINEERING,1,2,0,1,1,0,0,5
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CM,COMPUTER SCIENCE AND ENGINEERING (SS),2,1,0,1,0,1,0,5
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CS,COMPUTER SCIENCE AND ENGINEERING,1,2,0,0,1,0,0,4
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,2,0,0,1,0,1,0,4
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,1,2,0,1,0,0,1,5
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),2,1,0,1,1,0,0,5
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,IM,INFORMATION TECHNOLOGY (SS),4,3,0,2,2,0,0,11
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,PR,PRODUCTION ENGINEERING,2,1,0,1,1,0,0,5
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,RA,ROBOTICS AND AUTOMATION (SS),1,1,0,1,0,0,0,3
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,RP,RUBBER AND PLASTIC TECHNOLOGY,1,1,1,1,1,0,0,5
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),1,1,1,1,0,0,0,4
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",CE,CIVIL  ENGINEERING,1,1,0,1,1,0,0,4
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),1,1,0,1,1,0,0,4
